fecha,pct_sobre_ma20,pct_sobre_ma50,pct_sobre_ma200
2021-09-14,51.06,59.57,
2021-09-15,59.57,63.83,
2021-09-16,56.38,64.89,
2021-09-17,39.36,57.45,
2021-09-20,18.09,44.68,
2021-09-21,23.4,44.68,
2021-09-22,32.98,52.13,
2021-09-23,44.68,56.38,
2021-09-24,42.55,56.38,
2021-09-27,39.36,53.19,
2021-09-28,14.89,27.66,
2021-09-29,12.77,25.53,
2021-09-30,18.09,21.28,
2021-10-01,22.34,27.66,
2021-10-04,13.83,19.15,
2021-10-05,22.34,25.53,
2021-10-06,30.85,34.04,
2021-10-07,41.49,39.36,
2021-10-08,34.04,41.49,
2021-10-11,29.79,32.98,
2021-10-12,32.98,32.98,
2021-10-13,43.62,37.23,
2021-10-14,62.77,48.94,
2021-10-15,70.21,51.06,
2021-10-18,73.4,54.26,
2021-10-19,79.79,62.77,
2021-10-20,73.4,64.89,
2021-10-21,80.85,64.89,
2021-10-22,74.47,60.64,
2021-10-25,75.53,62.77,
2021-10-26,74.47,61.7,
2021-10-27,63.83,57.45,
2021-10-28,75.53,64.89,
2021-10-29,75.53,68.09,
2021-11-01,81.91,70.21,
2021-11-02,78.72,75.53,
2021-11-03,84.04,78.72,
2021-11-04,84.04,80.85,
2021-11-05,87.23,82.98,
2021-11-08,86.17,80.85,
2021-11-09,86.17,81.91,
2021-11-10,79.79,82.98,
2021-11-11,75.53,79.79,
2021-11-12,80.85,80.85,
2021-11-15,78.72,78.72,
2021-11-16,75.53,80.85,
2021-11-17,75.53,77.66,
2021-11-18,70.21,73.4,
2021-11-19,61.7,71.28,
2021-11-22,56.38,68.09,
2021-11-23,52.13,69.15,
2021-11-24,48.94,73.4,
2021-11-26,22.34,58.51,
2021-11-29,47.87,65.96,
2021-11-30,23.4,50.0,
2021-12-01,20.21,44.68,
2021-12-02,27.66,50.0,
2021-12-03,23.4,44.68,
2021-12-06,32.98,56.38,
2021-12-07,54.26,69.15,
2021-12-08,57.45,69.15,
2021-12-09,41.49,62.77,
2021-12-10,56.38,67.02,
2021-12-13,51.06,59.57,
2021-12-14,38.3,48.94,
2021-12-15,59.57,59.57,
2021-12-16,41.49,53.19,
2021-12-17,36.17,47.87,
2021-12-20,29.79,38.3,
2021-12-21,58.51,53.19,
2021-12-22,65.96,56.38,
2021-12-23,75.53,59.57,
2021-12-27,85.11,68.09,
2021-12-28,84.04,65.96,
2021-12-29,82.98,67.02,
2021-12-30,78.72,65.96,
2021-12-31,71.28,62.77,
2022-01-03,68.09,59.57,
2022-01-04,61.7,54.26,
2022-01-05,37.23,46.81,
2022-01-06,40.43,45.74,
2022-01-07,29.79,41.49,
2022-01-10,29.79,39.36,
2022-01-11,38.3,45.74,
2022-01-12,39.36,47.87,
2022-01-13,29.79,38.3,
2022-01-14,29.79,38.3,
2022-01-18,19.15,27.66,
2022-01-19,20.21,23.4,
2022-01-20,17.02,20.21,
2022-01-21,11.7,18.09,
2022-01-24,7.45,19.15,
2022-01-25,6.38,15.96,
2022-01-26,4.26,17.02,
2022-01-27,6.38,15.96,
2022-01-28,11.7,20.21,
2022-01-31,23.4,22.34,
2022-02-01,37.23,21.28,
2022-02-02,45.74,28.72,
2022-02-03,31.91,23.4,
2022-02-04,35.11,24.47,
2022-02-07,37.23,21.28,
2022-02-08,48.94,22.34,
2022-02-09,69.15,35.11,
2022-02-10,50.0,25.53,
2022-02-11,30.85,23.4,
2022-02-14,34.04,19.15,
2022-02-15,56.84,29.79,
2022-02-16,56.84,27.66,
2022-02-17,33.68,22.34,
2022-02-18,28.42,19.15,
2022-02-22,15.79,18.09,
2022-02-23,8.42,12.77,
2022-02-24,23.16,13.83,
2022-02-25,43.16,21.28,
2022-02-28,38.95,21.28,
2022-03-01,30.53,20.21,
2022-03-02,50.53,28.72,
2022-03-03,45.26,20.21,
2022-03-04,38.95,22.34,
2022-03-07,27.37,15.96,
2022-03-08,16.84,12.77,
2022-03-09,35.79,17.02,
2022-03-10,27.37,18.09,
2022-03-11,22.11,17.02,
2022-03-14,20.0,15.96,
2022-03-15,30.53,21.28,
2022-03-16,63.16,32.98,
2022-03-17,70.53,41.49,
2022-03-18,86.32,55.32,
2022-03-21,82.11,52.13,
2022-03-22,92.63,58.51,
2022-03-23,76.84,53.19,
2022-03-24,86.32,63.83,
2022-03-25,86.32,64.89,
2022-03-28,93.68,67.02,
2022-03-29,98.95,76.6,
2022-03-30,94.74,71.58,
2022-03-31,91.58,66.32,
2022-04-01,83.16,66.32,
2022-04-04,91.58,74.74,
2022-04-05,68.42,62.11,
