año,retorno_pct_NRADAS,max_dd_pct_NRADAS,retorno_pct_QQQ,max_dd_pct_QQQ
2004,8.83,-11.11,10.54,-15.86
2005,2.45,-7.06,1.57,-12.15
2006,5.13,-11.88,7.14,-17.27
2007,12.33,-5.24,19.03,-11.45
2008,-19.22,-22.48,-41.73,-49.4
2009,31.82,-7.97,54.68,-18.29
2010,12.24,-8.29,20.14,-15.61
2011,3.42,-8.16,3.48,-16.1
2012,16.68,-3.97,18.11,-11.64
2013,23.07,-3.36,36.63,-5.85
2014,12.64,-4.71,19.18,-8.25
2015,7.88,-5.54,9.44,-13.94
2016,6.0,-4.53,7.1,-12.04
2017,18.39,-2.64,32.66,-4.88
2018,5.24,-7.23,-0.13,-22.8
2019,20.62,-4.61,38.96,-10.98
2020,28.56,-10.82,48.41,-28.56
2021,15.6,-6.74,27.42,-10.85
2022,-15.9,-17.22,-32.58,-34.83
2023,26.69,-3.22,54.86,-10.78
2024,12.08,-6.38,25.58,-13.56
2025,9.77,-10.78,20.77,-22.77
2026,10.93,-4.61,15.37,-11.72
